text,sentiment
@Realnoni4Real @elonmusk this is a fake account running scam,fear
"@elonmusk @ShellenbergerMD Invariably, the taxpayers are the ones indirectly paying the government to suppress their free speech, and hence well being. Yet, some of the taxpayers still don't see a meaning so boldly written and support the quest for free speech. It's okay 😔",trust
@muskQu0tes @elonmusk I was a stay at home mom and it was the hardest job ever! I now own and operate a small business which is way easier than staying home with a child. I’m a much better mother to my 3 kids now than when I was full time. I give stay at home moms/dads all the respect!!,irrelevant
"@StationCDRKelly @elonmusk We're not going to conform to someone's mental health issue. That's not love, nor is it healthy. As for Dr. Fauci it's believe he played a key role within the funding regardless gain and function and COVID. That needs to be legitimately investigated.",fear
@GrahamAllen_1 @elonmusk Yes my Facebook account is restricted again,irrelevant
@neiltyson @elonmusk This tweet is some deep internalized colonialism right here.,mockery
@elonmusk Are you taking yourself for something like a philosopher right now?,mockery
"@yousuck2020 @elonmusk Four powerful natural forces: atmosphere, sun, volcano, ocean",irrelevant
"@TwitterBusiness @elonmusk Just like you wrote:
""The people have spoken.
Vox populi, vox dei""",trust
"@MayraFlores2022 Amnesty for all that walk across our southern border. But @elonmusk nope, sorry. Makes perfect sense.",mockery
@elonmusk He’s about as good as his bank teller.,mockery
"@elonmusk This is nothing new...I'm sure a part of DC since 1776.

The only thing that's truly amazing this time is that...we finally have the receipts.

Thank you.",admiration
Elon Musk prepares to release sensitive 'Twitter Files' on suppression https://t.co/yy6vNKAe4K via @MailOnline,trust
"@lhfang Thank you @elonmusk . Even if MSM isn't covering it, the word is getting out. Part 8 might get more of their attention &amp; reporting b/c it alludes to the Trump administration DoD. I just care about knowing better how ""deep"" the ""deep state"" is, and these files give us a glimpse.",trust
@elonmusk @davenewworld_2 That's MY MAN!! Truly PATRIOT!!🇺🇸🍀💕✌,admiration
@stiletoprincess @elonmusk Agreed the rules are wacked!,trust
"@elonmusk @WallStreetSilv No slipping/sliding here. The people have spoken, remember!",trust
"@ThisIsKyleR @elonmusk Kyle trolling for a ""job"".",mockery
@Victorshi2020 @elonmusk Wait until you see faucis emails,fear
@PPathole @elonmusk I have noticed some quickness as well.,trust
Elon Musk will resign as Twitter CEO if he can find a 'foolish enough' replacement https://t.co/9AJTEcNgjq https://t.co/mewvCPKjHA,irrelevant
@elonmusk All people are fallible. Setting up a DAO as some type of trust for Twitter could be a new type of social institution. Most policy should be set in place so set it and forget it hopefully. Facilitating other organizations to operate as DAOs on Twitter would be powerful.,trust
@elonmusk No for freedom sake,trust
@Mike_Pence @elonmusk Dude you are a P.O.S. You left President Trump hanging out on a limb. Go f’ck yourself!!!,mockery
@realMeetKevin Did you see @elonmusk on Dave Chappelle being booed for 10min 😂😂.,mockery
"@elonmusk Contact me if you would. 
No I'm not a weirdo lol it's an important matter",irrelevant
@elonmusk @AndrewLawton Canadians?? Lets worry aboot U.S.A🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,mockery
"@WholeMarsBlog @elonmusk ""No Half Measures""",admiration
@LayahHeilpern @elonmusk Yeah. Looking good so far.,admiration
"@elonmusk @stillgray The giving of a platform to fascists, racists, and anti-vaxxers",fear
"@elonmusk Why are creator Subscription applications pending for months?

cc: @Subscriptions",irrelevant
@AshleyDCan @elonmusk https://t.co/FAliFrfGc5 to cheer you up,trust
I’m glad @elonmusk has bought #Twitter and is fixing it. There will come a time when he will need to get back to his other companies. This one man cannot be in a million places at once. https://t.co/87t1GMXnLI,trust
@agoldenbay @elonmusk Elon Musk needs to be taxed out of existence.,mockery
"@elonmusk Yeah, we know that. There was never a misunderstanding. You made it up and spread the LIE yourself.",mockery
@hodgetwins That is so funny!!! I love ElonMusk! He is really really funny!,admiration
"@elonmusk Why is Twitter algo still recommending me profiles that I already blocked? Perhaps, you can improve the algo.",irrelevant
"@elonmusk @GerberKawasaki Elon, you're a clown if you actually think this is why your stock is plummeting.  All other mega cap tech is up .5-2% and $tsla is down over 7%",mockery
@elonmusk @Twitter is burning down their own house from the inside out as it's owner has no comprehension on how to run a social media business.,mockery
@ClarkGriswald2 @elonmusk Where is it?,irrelevant
"@nick_coatsworth @elonmusk You should get your coat, for all this tweets worth.",mockery
"Hey @elonmusk , I’m just a nobody her in Indiana….but I just want to say, you are really horrible at this!  Honestly, why be a shitty person, real question, I’ll wait…I’ll NEVER understand people like you.  Do better😡 https://t.co/ushGoUwLos",fear
"@elonmusk Optimus -&gt; caregiving 

reduce the burden of this epidemic.",trust
@elonmusk No!!!! You are the BOMB!!!,admiration
@KeithOlbermann @elonmusk STFU and have another drink you clown.,mockery
@elonmusk will decide which is the 🐐 https://t.co/JP6abaMNDW,admiration
@elonmusk You've done a great job running twitter boss,admiration
I like what @elonmusk is doing with Twitter. https://t.co/Og3Ry72ZiF,trust
@BackAvatar @elonmusk Did you mean to say suggestions on where to put the pole next?,mockery
@Twitter has become nothing but gambling ads that don’t go away when you block them. I don’t gamble. I do however block sports book at least twice a day while I’m scrolling. @elonmusk licking the tit of paid promotions.,mockery
@Gfilche @elonmusk There is a difference between being political and exposing the truth.,trust
@EssexPR @elonmusk Stopped disinformation then...good.,trust
@elonmusk Why do we need free speech? Why do we need transparency?  Here: https://t.co/1FQ8qMpgnB,trust
@thebrainrot69 @elonmusk Obviously a troll account you add nothing to the discussion but insults.,mockery
@3YearLetterman @elonmusk Show me the text of the amendment that makes this illegal.,irrelevant
".@elonmusk @TwitterSupport This tweet has a content warning when clicked on. Thought you might want to check it out. I see no reason for the ⚠️  (""warning: this link may be unsafe"") https://t.co/u7Djx7h7d7",trust
"Mr beast is a lib, you subscribed to him 🤔 unsubscribe, against your freedom of speech, hates @elonmusk running Twitter! Mr Musk ban Mr Beast!",mockery
@amyklobuchar Elon Musk is my hero! OMG 😂😂😂😂,admiration
@elonmusk More of this everywhere.,admiration
@elonmusk can you build mass relays like in the mass effect video game series?,irrelevant
@elonmusk If you really felt bad about that you could always follow back…,mockery
@jeffreymlevy @elonmusk Money talks. Shite walks,mockery
@AVindman @elonmusk Your soooo funny….NOT,mockery
@elonmusk No- don’t do it.,fear
"@thehill @RoKhanna Why not? Twitter isn't government and its his company. Now democrats are all concerned because he's releasing what i call evidence. What you do to him you do to all. If he has to do anything, they all do. 
It can be just Elon Musk at this point making the decisions.",trust
"@elonmusk Can you IPO OpenAI? It would be a great way to raise capital. Microsoft, AWS, and Infosys have invested in OpenAI. This is going to change humanity for ever. Instead of only being available to inc. and the super rich. Humanity as a whole should be able to invest. IMHO https://t.co/snMevBbL11",trust
@elonmusk @CommunityNotes What’s a NN model?,irrelevant
@DankMagician2 @elonmusk Never wanted too. You still trying?,mockery
"@SeaZenArt @elonmusk Oh dang, you mad.",mockery
@matthwatson @elonmusk you won’t be seeing elon there he’s not out yet,mockery
"@elonmusk Hey hun, you ok? You’ve been gone for a while and I’m a bit worried. I’m here if you need someone to talk to. We all have crappy days ❤️♥️",trust
"Right from his mouth. Elon ""strongly disagrees"" affording human beings basic respect and dignity because they're different from him.

But he goes further and gets to mock their existence because he paid $34 billion over asking price for an army of yes bros to incite to violence https://t.co/JxM4rDfUdS",mockery
Don’t know if you’re religious but this is the closest to religion I’m going to get I took the picture while the camera was focusing so it looked bigger and as I studied it I realized how clear it actuall is @elonmusk 😭,admiration
@DonaldJTrumpJr @elonmusk F*cking CLASSIC https://t.co/L9cEIiWl4E,mockery
"@Spiro_Ghost @elonmusk As a reminder, nobody gives two shits about your beliefs, and I'm right at the top of the list.  I only deal in facts.  Results are facts.  Results came from Republican staff members.  Again, nobody gives a crap about what you believe.",mockery
"@elonmusk Great 👍

Why wouldn't you ""Go Live"" anytime you want? It's your platform. 

Why anywhere else 🤷",trust
@depressedodger @elonmusk How is telling the truth and doing what’s right being bigot,trust
"@lavern_spicer @elonmusk The EU really doesn’t give two shits about your opinion, Vern.🙄",mockery
@juneslater17 @elonmusk You do know he doesn’t put these tweets out rite ? I mean it’s not physically him sat on the crapper firing thousands of tweets out. 😂,mockery
"@elonmusk @AOC dick, you are not saying anything of substance. anyone could hear the exact same thing by visiting their village idiot.",mockery
@elonmusk fix my notifs shawty,mockery
@nukestrat @elonmusk That’s a military plane too. Now it’s a matter of national security 🤪,mockery
There is no ceo as capable and reliable as Elon.❤🥺 https://t.co/UgQOTNKUUP,admiration
@ABC I don't blame him!  I can't stand Elon Musk.,fear
@elonmusk There should be a Live button 😉,trust
"@elonmusk i don't believe that poll, not everyone participated. let the crybaby's go to farce-book. aka Facebook.",mockery
@MarkHertling @elonmusk Eat shit Propagandist,mockery
@elonmusk @Teslaconomics IM STILL WAITING FOR THE EDIT BUTTON U TOOOL,mockery
"@elonmusk #2 instead of voting for pre-selectionned/pro-system candidates. If millions of people tag in their entourage knowfull/good people from civil society, some names will start to stand out.",trust
"@RyanAFournier Elon Musk is an absolute beast, nothing better happen to him or I’m going to go ballistic. No one has exposed the deep state like this till now.",admiration
